CUSTOMER_ID,ASSESSMENT_YEAR,PRODUCT_DEMAND,OWNERS_MANAGEMENT,ACCESS_CREDIT,PROFITABILITY,SHORT_TERM_LIQUIDITY,MEDIUM_TERM_LIQUIDITY,GROUP_FLAG,TURNOVER,INDUSTRY,DEFAULT_FLAG
4294634,2008,55,60,60,60,50,50,1,6081276.81,Manufacturing,0
1607376,2005,72,60,64,61,63,61,0,6084290.21,Office Machinery and Computer Industries,0
1590723,2005,60,65,60,55,60,60,0,6084780.25,Trade,0
201786,2004,60,50,50,50,50,50,0,6090883.63,Trade,0
1559396,2004,57,57,57,57,57,57,0,6091177,Manufacturing,0
4493189,2008,50,50,50,43,50,50,0,6091788.21,"Transport, Storage and Communications Infrastructure",1
1593684,2003,62,60,60,52,55,57,1,6092114.33,Trade,0
4787600,2008,58,66,64,80,40,52,1,6093341.21,Property and Construction Sectors,0
1568847,2005,55,54,52,53,51,53,1,6095707.65,Property and Construction Sectors,0
1606462,2007,54,51,51,50,50,46,0,6096008.23,Property and Construction Sectors,0
1606462,2008,45,51,51,50,50,46,0,6096008.23,Property and Construction Sectors,1
2824007,2008,50,45,50,50,50,50,1,6096014.16,Trade,1
1626244,2005,60,65,60,60,60,60,0,6096420.07,Office Machinery and Computer Industries,0
1571139,2008,55,60,53,53,53,51,1,6097107,Property and Construction Sectors,0
3677062,2008,52,50,47,50,48,50,1,6097107,Extractive Industries ,0
3677062,2008,55,58,58,57,57,58,1,6097107,Extractive Industries ,0
3677062,2008,49,49,40,45,40,45,1,6098231,Extractive Industries ,1
2406036,2007,55,60,55,50,55,50,1,6098939.07,Property and Construction Sectors,0
4000527,2008,61,52,54,72,60,46,0,6100415,Trade,0
1604304,2005,51,49,51,51,50,52,0,6101703.9,Property and Construction Sectors,0
1593396,2003,60,60,50,60,60,50,0,6102955.11,Manufacturing,0
1597139,2006,58,59,56,56,55,57,0,6104610.44,"Transport, Storage and Communications Infrastructure",0
3360728,2008,50,40,40,40,40,40,1,6104811.09,Manufacturing,0
2409386,2002,41,42,40,39,38,37,0,6107751.43,Trade,0
1607172,2003,70,70,75,75,70,70,1,6108000.48,Property and Construction Sectors,0
2922440,2008,50,55,50,50,50,50,0,6108512.49,"Transport, Storage and Communications Infrastructure",1
1586415,2007,51,51,50,45,50,50,0,6109460.32,Property and Construction Sectors,1
203361,2005,55,60,56,50,53,54,1,6113015.79,"Transport, Storage and Communications Infrastructure",0
1600346,2003,60,65,60,55,55,55,0,6114551.69,Other,0
4460879,2008,55,50,50,50,30,50,0,6119952.39,Manufacturing,0
4460879,2008,55,60,55,55,55,55,0,6119952.39,Manufacturing,0
4768726,2008,45,50,50,56,55,55,0,6120698.61,Property and Construction Sectors,1
1618020,2007,68,65,65,70,65,60,1,6121583.9,Property and Construction Sectors,0
1618020,2008,68,65,65,70,65,60,1,6121583.9,Property and Construction Sectors,0
2811338,2008,55,65,60,55,57,60,0,6127286.23,Manufacturing,0
1615380,2006,55,50,40,50,49,50,1,6128430.22,Office Machinery and Computer Industries,0
1614550,2007,50,50,50,48,50,52,0,6129418.16,Trade,0
1602378,2008,50,50,50,45,45,45,1,6132575.27,Manufacturing,0
1612731,2003,65,60,55,60,60,60,0,6135827.33,Manufacturing,0
1613293,2008,51,56,51,51,53,56,1,6140464.97,Office Machinery and Computer Industries,0
203834,2006,60,60,60,65,60,65,1,6142944.41,Property and Construction Sectors,0
1570684,2008,50,50,48,52,50,54,0,6144030.26,Manufacturing,1
1600328,2006,58,59,57,64,58,57,1,6145037.04,Trade,0
3361885,2006,65,65,55,60,55,60,1,6145642.01,Manufacturing,0
3361834,2008,58,60,58,62,62,62,0,6151669.28,"Transport, Storage and Communications Infrastructure",0
1588079,2006,60,60,58,55,57,56,0,6152702.52,Manufacturing,0
1605508,2008,50,60,55,55,55,55,0,6153747.75,Office Machinery and Computer Industries,1
2922455,2008,48,48,48,48,48,48,1,6154376.06,Office Machinery and Computer Industries,1
1562968,2007,54,59,60,53,75,78,1,6157163.69,Manufacturing,0
3361843,2006,56,56,50,50,53,56,1,6158182.02,"Transport, Storage and Communications Infrastructure",0
4686478,2008,55,50,40,50,44,44,1,6162356.02,Property and Construction Sectors,0
1635601,2006,65,60,55,57,65,60,0,6162504.17,Property and Construction Sectors,0
4308235,2006,55,55,50,55,55,55,1,6169609.55,Trade,0
3361761,2008,50,58,55,45,55,55,1,6171951.8,Manufacturing,1
1569304,2004,60,62,62,58,62,62,0,6171975.2,Manufacturing,0
1607584,2008,40,40,40,40,40,40,1,6175777.63,Property and Construction Sectors,1
3365085,2007,45,40,30,30,30,40,1,6177604.74,Office Machinery and Computer Industries,1
3365085,2008,45,40,30,30,30,40,1,6177604.74,Office Machinery and Computer Industries,1
3365951,2008,43,43,40,40,45,50,1,6177604.74,Office Machinery and Computer Industries,1
1592233,2008,60,62,51,52,51,50,1,6180398.26,Manufacturing,0
1590201,2004,53,50,55,52,52,52,0,6180531.74,Office Machinery and Computer Industries,0
1590201,2004,53,50,55,52,53,52,0,6180531.74,Office Machinery and Computer Industries,0
1591981,2003,58,60,64,64,63,63,1,6183189.42,Manufacturing,0
1631846,2008,59,56,52,51,50,50,1,6185687.25,Manufacturing,0
203000,2005,60,55,60,50,55,65,1,6186524.98,Trade,0
1583199,2006,65,60,75,60,70,75,1,6187681.78,Trade,0
1604199,2005,60,45,45,50,50,50,0,6190991.64,"Transport, Storage and Communications Infrastructure",0
1559841,2008,49,58,49,39,46,40,1,6191104.14,Trade,1
1603900,2008,49,52,55,55,55,48,1,6191104.14,Property and Construction Sectors,0
1589425,2004,55,50,50,50,50,45,0,6191526.93,Manufacturing,0
1576435,2004,65,60,55,55,55,55,0,6192500,Other,0
1583803,2006,58,55,54,55,54,55,0,6194571.95,Manufacturing,0
1579266,2002,55,50,45,55,55,50,1,6197608.47,Trade,0
1586172,2008,56,60,58,55,55,60,1,6201950,Property and Construction Sectors,0
1569608,2006,65,62,68,65,65,68,0,6202542.85,Trade,0
1562955,2005,52,62,60,50,54,55,0,6202838.21,Manufacturing,0
1610049,2005,50,60,40,51,50,50,1,6204303.9,Property and Construction Sectors,0
1633551,2005,55,60,55,60,60,55,0,6206437.61,Manufacturing,0
191366,2005,55,53,55,50,60,60,1,6208659.09,Manufacturing,0
1585745,2005,56,56,53,54,50,54,0,6209654.01,Property and Construction Sectors,0
3086214,2008,59,65,58,52,55,53,1,6215492.77,Property and Construction Sectors,0
1552007,2004,60,60,58,53,58,62,1,6216042.02,Trade,0
1589370,2005,54,53,50,50,50,50,0,6223144.54,Office Machinery and Computer Industries,0
1589370,2005,54,53,50,50,50,50,0,6223144.54,Office Machinery and Computer Industries,0
1594573,2003,50,50,50,50,50,50,0,6225324.81,Manufacturing,0
1569304,2002,60,65,60,60,60,65,0,6225939.78,Manufacturing,0
1628788,2006,60,60,60,62,60,55,1,6226348.19,Manufacturing,0
1557176,2005,55,50,55,50,50,55,0,6227032.4,Manufacturing,0
1557176,2006,55,50,55,50,50,55,0,6227032.4,Manufacturing,0
1618877,2005,60,65,60,55,55,60,1,6232444.05,Property and Construction Sectors,0
1590560,2003,54,52,52,52,53,53,0,6235406.28,Property and Construction Sectors,0
1590560,2004,50,45,10,10,10,25,0,6235406.28,Property and Construction Sectors,1
4303133,2006,62,52,69,54,57,65,0,6238810.92,"Agriculture, Livestock and Fisheries",0
2832836,2008,55,45,45,49,45,49,1,6239167.85,Other,0
2811392,2005,70,70,68,65,75,75,0,6239184.78,Trade,0
1605686,2005,54,52,55,50,51,52,0,6240645.98,Other,0
1560345,2004,70,63,70,65,70,70,0,6242321.51,Manufacturing,0
2824684,2004,65,60,62,58,60,62,0,6242356.71,Trade,0
1631602,2007,61,66,52,51,51,66,1,6246005.91,Other,0
1626030,2008,50,50,50,50,50,50,0,6246606.67,Property and Construction Sectors,1
1626030,2008,60,60,60,60,60,60,0,6246606.67,Property and Construction Sectors,0
1626030,2008,45,50,45,45,45,45,0,6246606.67,Property and Construction Sectors,1
1608190,2003,60,55,50,50,50,45,0,6248216.77,Property and Construction Sectors,0
1604843,2008,60,65,65,65,65,70,1,6250359.1,Manufacturing,0
1563403,2008,56,55,54,51,54,53,0,6251202.74,Manufacturing,0
1582583,2002,65,55,55,50,50,50,0,6251264.81,Manufacturing,0
1574870,2008,60,69,50,51,55,53,1,6251465.06,Manufacturing,0
1594485,2005,55,50,53,50,52,50,1,6262899.6,Trade,0
1610717,2003,50,55,50,45,45,55,1,6263321.43,Property and Construction Sectors,0
2815554,2006,66,68,70,66,66,64,0,6263413.91,Trade,0
2815554,2006,66,68,70,66,66,65,0,6263413.91,Trade,0
4685202,2008,62,60,60,62,65,50,1,6264000,"Electricity, Gas and Water ",0
2405977,2004,55,54,57,53,58,56,0,6264549.5,Manufacturing,0
1555053,2003,60,55,55,55,55,55,1,6265961.19,Manufacturing,0
3363386,2005,58,60,55,55,59,60,1,6266866.85,Manufacturing,0
189215,2007,61,67,59,49,84,79,1,6270152.31,Property and Construction Sectors,0
1606165,2003,50,50,50,50,40,50,0,6270305.39,Trade,0
1599692,2007,52,64,58,53,56,54,0,6271538.06,Property and Construction Sectors,0
1601896,2008,45,50,50,50,50,50,1,6273748.07,Property and Construction Sectors,1
1590198,2002,60,60,62,63,63,61,1,6276063.64,Manufacturing,0
1592080,2007,68,76,70,50,66,71,1,6281982.86,Property and Construction Sectors,0
1553581,2006,60,60,60,42,79,73,0,6284361.71,Manufacturing,0
191689,2006,53,56,52,50,50,50,1,6285606,Extractive Industries ,0
1562035,2008,55,55,50,50,50,50,1,6286610.18,Trade,0
1562035,2008,60,60,55,50,55,55,1,6286610.18,Trade,0
4309003,2008,55,60,55,50,55,55,1,6286610.18,Manufacturing,0
4302906,2008,60,60,55,55,55,55,1,6286610.18,Manufacturing,0
4309003,2008,55,55,50,50,50,50,1,6286610.18,Manufacturing,0
1564165,2004,50,50,50,50,50,50,0,6291528.37,Manufacturing,0
1566598,2008,60,70,65,68,65,65,1,6292326.77,Manufacturing,0
1619812,2005,56,52,60,62,62,62,1,6298036.56,"Transport, Storage and Communications Infrastructure",0
2921819,2005,70,55,60,65,60,65,0,6300242.07,Office Machinery and Computer Industries,0
1596486,2008,47,50,48,50,50,48,1,6304459.23,Trade,0
1592954,2004,60,60,60,60,60,60,0,6304942.44,Property and Construction Sectors,0
2408504,2000,80,70,60,70,70,70,1,6307171.95,Office Machinery and Computer Industries,0
2407686,2008,60,60,60,55,60,50,0,6315435.63,Office Machinery and Computer Industries,0
3369850,2008,54,58,58,60,57,50,0,6315925.58,Property and Construction Sectors,0
1573349,2008,57,60,52,57,50,55,1,6316985.61,Trade,0
1586387,2006,55,50,55,60,55,50,0,6317846.56,"Transport, Storage and Communications Infrastructure",0
2826108,2008,70,80,80,70,80,80,1,6320668.36,Other,0
1569226,2003,60,50,55,50,50,50,0,6324142.96,Manufacturing,0
1569226,2003,65,65,60,50,55,55,0,6324142.96,Manufacturing,0
4718866,2007,68,65,62,55,68,67,0,6324455.13,Property and Construction Sectors,0
1554116,2006,62,60,65,60,65,65,0,6325148.6,"Transport, Storage and Communications Infrastructure",0
1592497,2006,55,65,70,65,71,70,0,6329122.06,Manufacturing,0
1582651,2004,60,70,70,55,70,55,1,6329184.19,Manufacturing,0
206512,2003,65,60,68,55,58,70,0,6335017,Trade,0
206512,2003,55,50,60,55,55,55,0,6335017,Trade,0
4719419,2008,58,58,56,52,50,50,1,6335906.15,"Electricity, Gas and Water ",0
1605368,2004,60,55,50,55,55,25,0,6336348.73,Property and Construction Sectors,0
1570102,2006,65,65,55,58,60,60,1,6338280.53,Manufacturing,0
1616470,2008,54,59,57,53,60,70,1,6339876.59,Manufacturing,0
2405758,2003,65,60,61,58,59,62,0,6340131.81,Trade,0
1559239,2006,65,70,71,68,73,72,0,6344451.54,Manufacturing,0
1563701,2004,60,50,50,50,40,45,0,6345488.91,Trade,0
1592428,2004,65,54,60,62,60,66,1,6345553.44,Property and Construction Sectors,0
1565225,2008,60,60,65,65,65,65,1,6348319.38,Manufacturing,0
1565225,2008,65,70,75,65,75,75,1,6348319.38,Manufacturing,0
2415387,2004,55,60,50,50,50,40,1,6348322.34,Property and Construction Sectors,0
1591683,2006,60,55,55,57,55,55,0,6351063.63,Manufacturing,0
1560469,2003,65,68,69,65,66,68,0,6352120.95,Manufacturing,0
4606657,2008,60,60,58,55,60,60,1,6352468.91,Manufacturing,0
3362157,2008,35,45,35,45,45,50,0,6352789.87,Trade,1
1596852,2008,60,60,60,55,55,45,0,6354540.61,Trade,0
1611209,2001,55,60,50,40,45,50,1,6359251.26,Trade,0
1588149,2003,55,50,60,60,60,60,1,6359745.27,Manufacturing,0
4414956,2006,70,70,65,70,70,65,0,6360528.26,Property and Construction Sectors,0
1589792,2004,50,55,50,50,50,55,0,6365175.49,Manufacturing,0
4570062,2008,63,65,54,52,52,51,0,6365877.45,Office Machinery and Computer Industries,0
3070713,2004,65,60,70,65,65,65,0,6368665.2,Manufacturing,0
1578094,2003,55,70,50,45,45,50,0,6370871.12,Trade,0
2410914,2007,40,50,35,35,30,35,1,6372044.97,Office Machinery and Computer Industries,1
1560489,2004,58,70,55,52,59,58,1,6372118.99,Property and Construction Sectors,0
1603480,2007,56,53,50,50,50,50,0,6372138.26,Trade,0
3413840,2008,55,50,50,50,49,45,0,6373494.33,Trade,0
1600490,2006,55,50,50,50,50,55,1,6374617.97,"Transport, Storage and Communications Infrastructure",0
1573906,2008,57,75,63,62,65,60,1,6375036.72,Manufacturing,0
1609907,2008,55,65,60,45,60,65,0,6375177.51,Manufacturing,0
1552827,2003,50,52,53,50,51,51,1,6378933.12,Manufacturing,0
1582413,2003,60,65,65,60,70,60,0,6381398.73,Trade,0
1584765,2003,60,55,50,50,50,42,1,6382091.97,"Transport, Storage and Communications Infrastructure",0
1629646,2004,55,52,50,50,52,55,0,6382323.1,Manufacturing,0
1584274,2002,60,56,57,50,60,55,0,6394988.82,Trade,0
1597934,2003,65,70,70,65,65,65,0,6397211.68,Trade,0
3988276,2007,60,55,55,55,55,40,0,6398270.75,Office Machinery and Computer Industries,0
1601662,2008,57,59,56,55,56,51,1,6400863.18,Property and Construction Sectors,0
1598208,2008,55,55,50,55,50,50,1,6401800.47,Manufacturing,0
1598208,2008,49,49,49,49,49,49,1,6401800.47,Manufacturing,1
204641,2006,65,70,60,67,65,65,1,6403366.34,Office Machinery and Computer Industries,0
1596129,2004,55,54,70,52,55,54,1,6404969.12,Manufacturing,0
1585392,2007,59,60,55,55,60,58,0,6405536.74,Manufacturing,0
1557951,2008,52,60,50,50,50,60,1,6416105.71,Manufacturing,0
1592884,2007,65,50,55,55,55,55,0,6417854.57,Property and Construction Sectors,0
1592884,2008,50,45,45,50,45,45,0,6417854.57,Property and Construction Sectors,1
1626228,2006,80,50,55,65,60,40,0,6420669.58,Property and Construction Sectors,0
3372900,2006,60,58,50,45,45,40,1,6422734.95,Extractive Industries ,0
1598948,2006,60,55,55,50,55,55,0,6423173.66,Trade,0
1628076,2002,60,60,60,60,60,60,1,6427049.72,Manufacturing,0
1595551,2007,50,50,50,50,50,50,0,6428061.08,Manufacturing,0
1593803,2005,60,55,55,55,60,55,0,6432821.23,Property and Construction Sectors,0
1600562,2003,75,50,65,60,55,55,0,6433523.37,Manufacturing,0
1581585,2004,57,60,50,50,50,50,1,6435129.45,Manufacturing,0
1597001,2002,55,55,55,55,55,55,0,6436293.75,"Transport, Storage and Communications Infrastructure",0
1594967,2008,50,50,45,30,30,30,1,6437608.4,Manufacturing,1
1605390,2008,50,50,45,30,30,30,1,6437608.4,Manufacturing,1
1627078,2008,50,50,45,30,30,30,1,6437608.4,Manufacturing,1
1605660,2008,58,48,52,55,55,50,1,6438561.69,Manufacturing,0
1556012,2001,60,65,60,55,60,60,1,6440861.45,Manufacturing,0
4767337,2008,55,50,55,55,60,60,1,6445857.93,Property and Construction Sectors,0
3085567,2006,65,75,75,60,60,60,1,6446027.82,Trade,0
3092620,2005,60,60,52,50,55,52,0,6447193.68,"Transport, Storage and Communications Infrastructure",0
207553,2008,65,60,60,60,58,58,0,6448081.5,Manufacturing,0
1585392,2008,59,55,51,52,53,53,0,6448764.18,Manufacturing,0
1567784,2004,50,50,50,50,50,50,1,6451878.9,"Agriculture, Livestock and Fisheries",0
1615060,2002,60,55,60,55,60,65,0,6455009.72,Trade,0
3386851,2008,55,52,52,51,53,52,1,6457794.48,"Transport, Storage and Communications Infrastructure",0
1594873,2004,60,57,56,55,57,56,1,6458276.52,Manufacturing,0
1563406,2006,60,60,65,60,60,60,1,6458563.44,Trade,0
1560489,2005,57,65,56,53,55,57,1,6459254.15,Property and Construction Sectors,0
1563337,2003,55,50,40,55,40,45,1,6465152.56,Manufacturing,0
203744,2003,60,65,70,70,65,60,0,6468846.01,Trade,0
1592853,2007,65,59,53,58,58,59,0,6470040.38,Property and Construction Sectors,0
1614985,2008,60,60,60,57,60,75,0,6470949.45,Manufacturing,0
4460643,2008,59,60,56,47,55,57,0,6471998.69,"Transport, Storage and Communications Infrastructure",0
1621120,2008,50,55,50,50,45,47,0,6472988.05,Property and Construction Sectors,0
1603223,2003,60,60,50,50,55,40,1,6475232.72,"Transport, Storage and Communications Infrastructure",0
3081693,2005,60,58,55,50,60,50,1,6475272.87,Manufacturing,0
1594528,2002,60,55,56,55,57,55,0,6476335.37,Manufacturing,0
4305517,2008,50,60,56,58,55,55,0,6481559.08,Property and Construction Sectors,0
1628076,2004,55,55,50,55,55,55,1,6481899.2,Manufacturing,0
3079039,2008,58,56,54,56,54,55,0,6484513.26,Manufacturing,0
1595076,2005,55,57,56,55,60,60,0,6485076.86,Manufacturing,0
1558053,2005,70,75,75,65,75,75,0,6485810.18,Manufacturing,0
1623730,2004,60,60,60,55,60,55,1,6490986.36,Manufacturing,0
189555,2005,55,80,55,50,55,55,0,6496909.33,Trade,0
1573124,2008,62,60,60,60,60,60,0,6497158.09,Trade,0
1591528,2008,58,59,58,59,57,60,0,6499331.57,Manufacturing,0
2886947,2007,57,50,50,54,53,52,0,6503653.22,Manufacturing,0
1586889,2006,60,55,50,55,55,55,0,6504482,Manufacturing,0
1596713,2007,62,57,55,59,50,56,0,6505044.24,Property and Construction Sectors,0
1552813,2007,55,55,56,54,53,52,0,6508124,Manufacturing,0
1606439,2005,75,75,75,75,75,75,1,6508234.97,Manufacturing,0
1633562,2007,58,55,65,56,52,56,1,6511048.59,Property and Construction Sectors,0
2835409,2006,60,55,55,55,55,55,1,6511377.24,Manufacturing,0
1562955,2002,62,68,65,58,62,62,0,6511695.03,Manufacturing,0
1570188,2006,60,60,51,50,53,60,1,6515282.83,Trade,0
1552007,2006,58,60,52,43,72,62,1,6515282.83,Trade,0
1552200,2006,58,52,56,58,55,58,0,6515353.64,Manufacturing,0
1629583,2006,58,60,55,52,55,60,1,6516484.62,"Transport, Storage and Communications Infrastructure",0
1563630,2004,68,70,70,70,70,70,0,6516920,Extractive Industries ,0
1608843,2004,55,55,56,56,45,56,0,6517201.9,Property and Construction Sectors,0
4414822,2007,58,55,55,55,56,50,0,6519364.67,Trade,0
2888301,2008,56,55,56,54,55,53,1,6520388.24,Manufacturing,0
197834,2004,55,55,60,65,55,70,1,6528389.43,Trade,0
3357205,2008,35,35,35,35,35,35,1,6529754.85,Trade,1
1598238,2003,60,60,55,60,50,50,1,6531152.71,Manufacturing,0
1583271,2007,55,60,55,55,60,65,1,6538605.1,Property and Construction Sectors,0
195118,2008,55,50,55,50,55,50,0,6540033.55,Office Machinery and Computer Industries,0
1595577,2001,65,55,70,70,65,65,0,6540655.56,Trade,0
2886919,2008,60,54,56,52,56,56,0,6541539.22,Office Machinery and Computer Industries,0
1606925,2001,40,40,40,40,40,40,0,6541601.37,Manufacturing,0
1553329,2005,66,55,58,56,67,68,0,6542332.32,Office Machinery and Computer Industries,0
1570590,2006,50,65,54,50,60,50,1,6543477.55,Trade,0
1635908,2005,58,60,57,54,56,56,1,6543770.93,Manufacturing,0
1591382,2006,60,62,55,55,59,59,1,6544958.98,Manufacturing,0
3068952,2008,60,65,60,55,65,65,1,6545726.53,Property and Construction Sectors,0
1588931,2007,65,55,65,55,70,70,0,6546095.31,Trade,0
1604308,2008,57,65,50,73,55,53,1,6547329.63,Property and Construction Sectors,0
1580705,2005,60,70,50,52,50,54,1,6548257,Manufacturing,0
1553296,2005,65,65,72,65,70,70,1,6548605.09,Trade,0
1553415,2002,65,55,55,55,55,55,0,6548723.36,Manufacturing,0
4656358,2008,55,60,50,40,55,55,1,6549174.01,Manufacturing,0
1592739,2008,54,55,51,47,52,51,1,6549936.9,Manufacturing,0
4657210,2008,50,58,45,50,50,48,1,6550464.22,Manufacturing,0
1594967,2003,55,55,50,55,55,55,1,6554209.42,Manufacturing,0
4630256,2008,50,50,50,50,50,50,0,6556607.95,Manufacturing,0
1610442,2007,45,50,50,45,50,40,0,6557602.12,Property and Construction Sectors,1
1552554,2000,80,80,70,80,70,70,1,6559207.81,Hotels and Leisure,0
3078729,2006,64,64,70,54,90,90,1,6559592.12,Trade,0
1570048,2007,60,55,50,55,60,55,0,6560800.51,Trade,0
3076248,2008,49,53,53,55,53,53,0,6560886.77,Trade,0
2414707,2005,58,60,49,50,48,49,1,6561531.96,Manufacturing,0
1610709,2005,65,75,60,70,70,70,1,6564776.31,Manufacturing,0
1607129,2003,55,55,50,50,50,50,1,6564963.45,Manufacturing,0
1592638,2008,49,49,49,49,49,49,1,6565130.64,Trade,1
203834,2008,60,60,60,70,60,65,1,6568638.61,Property and Construction Sectors,0
1624208,2007,60,65,50,50,50,40,1,6571277.92,Manufacturing,0
3366178,2006,56,58,50,50,50,50,0,6575875.88,Other,0
190508,2003,60,60,60,50,55,60,1,6577149.16,Trade,0
1557309,2003,60,55,55,45,55,50,1,6577149.16,Other,0
1596273,2003,50,50,50,40,50,60,1,6577149.16,Trade,0
1553281,2004,59,63,63,56,57,61,0,6578254.33,Manufacturing,0
197324,2008,50,52,42,45,45,45,0,6579305.57,Trade,1
1591209,2002,60,65,60,55,60,60,1,6580262.84,Extractive Industries ,0
2417526,2008,55,60,47,41,50,33,0,6581314.65,"Transport, Storage and Communications Infrastructure",0
2397859,2000,10,10,10,10,10,10,1,6588529.08,Manufacturing,0
1561592,2005,50,45,30,35,35,35,0,6589342.22,Manufacturing,0
1632719,2006,60,60,40,50,40,40,0,6589366.16,Manufacturing,0
2398814,2008,65,60,65,50,65,65,1,6590940.38,"Transport, Storage and Communications Infrastructure",0
1598264,2003,60,56,52,55,52,53,0,6591088.22,Trade,0
195747,2005,55,55,50,45,55,55,1,6591379.62,Property and Construction Sectors,0
3357905,2005,60,55,55,50,55,50,1,6591379.62,Hotels and Leisure,0
1552586,2004,60,65,58,52,51,50,1,6593384.63,Manufacturing,0
3079066,2004,56,60,56,53,55,60,0,6593728.18,Other,0
1610637,2003,60,60,50,50,60,50,1,6596011.08,Manufacturing,0
197126,2005,66,65,64,65,70,54,0,6597108.18,Property and Construction Sectors,0
3367179,2005,70,65,65,65,65,70,0,6598112.56,"Agriculture, Livestock and Fisheries",0
1557055,2006,60,62,60,59,60,59,0,6600673.94,Trade,0
3369465,2008,56,52,50,50,50,45,1,6601134.7,Trade,0
3090032,2002,60,60,60,55,55,55,1,6602304.47,Manufacturing,0
1594034,2007,50,50,50,50,50,50,1,6605759.07,Property and Construction Sectors,0
1595831,2003,50,50,50,50,50,50,0,6609841.32,Manufacturing,0
1588721,2003,55,60,55,50,55,55,0,6615420.9,Trade,0
1588721,2003,75,75,75,75,75,75,0,6615420.9,Trade,0
1581070,2007,50,50,50,50,50,50,1,6616446.57,Trade,0
1565077,2005,60,65,50,50,50,50,0,6616667.33,Manufacturing,0
